Company;ISIN;Market;Compartment;Country of Incorporation;Date of eligibility declaration by the Issuer;Updated_Status
1000MERCIS;FR0010285965;Euronext GROWTH*;;France;18/11/2019;
2CRSI ;FR0013341781;EURONEXT;C;France;22/06/2018;
A2MICILE;FR0010795476;Euronext GROWTH*;;France;23/03/2015;Radiation - Delisted 23/04/2018
AB SCIENCE;FR0010557264;EURONEXT;B;France;17/03/2015;
ABC ARBITRAGE;FR0004040608;EURONEXT;B;France;08/04/2015;
ABEO SA;FR0013185857;EURONEXT;B;France;11/10/2016;
ABIONYX PHARMA (ex.CERENIS THERAPEUTICS);FR0012616852;EURONEXT;C;France;18/11/2019;
ABIVAX;FR0012333284;EURONEXT;C;France;26/06/2015;
ACTEOS;FR0000076861;EURONEXT;C;France;21/03/2017;
ACTIA GROUP;FR0000076655;EURONEXT;C;France;17/01/2020;
ACTIPLAY (GROUPE) (ex. CONCOURSMANIA);FR0011038348;Euronext GROWTH*;;France;10/03/2017;
ADEUNIS;FR0013284627;Euronext GROWTH*;;France;12/03/2019;
ADL PARTNER;FR0000062978;EURONEXT;C;France;09/12/2019;
ADOCIA;FR0011184241;EURONEXT;C;France;16/03/2018;
ADOMOS;FR0013247244;Euronext GROWTH*;;France;05/12/2017;
ADTHINK;FR0010457531;Euronext GROWTH*;;France;25/03/2015;
ADUX;FR0012821890;EURONEXT;C;France;13/04/2018;
ADVENIS (ex Avenir Finance);FR0004152874;EURONEXT;C;France;10/04/2015;
ADVICENNE;FR0013296746;EURONEXT;C;France;11/02/2020;
ADVINI;FR0000053043;EURONEXT;C;France;26/03/2015;
AG3i;FR0011908045;Euronext Access**;;France;07/05/2015;
AGRIPOWER;FR0013452281;Euronext GROWTH*;;France;20/11/2019;
AIR MARINE;FR0013285103;Euronext Access**;;France;11/12/2017;
ALBIOMA;FR0000060402;EURONEXT;B;France;01/04/2015;
ALES GROUPE;FR0000054652;Euronext GROWTH*;;France;02/04/2015;
ALPHA M.O.S;FR0013421286;EURONEXT;C;France;15/09/2016;
ALTUR Investissemnt (ex. TURENNE INVESTISSMENT);FR0010395681;EURONEXT;C;France;10/04/2017;
AMOEBA;FR0011051598;EURONEXT;C;France;10/01/2020;
AMPLITUDE SURGICAL;FR0012789667;EURONEXT;B;France;11/10/2019;
ANEVIA;FR0011910652;Euronext GROWTH*;;France;16/05/2019;
ANTEVENIO;ES0109429037;Euronext GROWTH*;;Espagne;14/01/2020;
AQUILA;FR0010340711;Euronext GROWTH*;;France;27/04/2017;
ARCHOS;FR0000182479;EURONEXT;C;France;16/04/2015;
ARCURE;FR0013398997;Euronext GROWTH*;;France;26/02/2019;
ARTEFACT (ex. NETBOOSTER);FR0000079683;Euronext GROWTH*;;France;22/01/2019;
ARTMARKET.Com ( ex ARTPRICE.COM);FR0000074783;EURONEXT;C;France;23/03/2018;
ASHLER & MANSON;FR0012968485;Euronext Access**;;France;20/07/2018;
AST GROUPE;FR0000076887;EURONEXT;C;France;30/03/2015;
ASTELLIA;FR0004176535;Euronext GROWTH*;;France;30/03/2015;Radiation - Delisted 08/03/2018
ATARI;FR0010478248;EURONEXT;C;France;16/01/2020;
