;Marche;Country of Incorporation;ISIN;Company;Secteur;Industrie;ticker
0;Euronext GROWTH*;France;FR0010285965;1000mercis;Communication Services;Advertising Agencies;ALMIL
1;Euronext GROWTH*;France;FR0011038348;Groupe Actiplay SA;Communication Services;Advertising Agencies;ALACT
2;Euronext GROWTH*;France;FR0013284627;Adeunis Societe anonyme;Technology;Communication Equipment;ALARF
3;Euronext GROWTH*;France;FR0013247244;Adomos S.A.;Real Estate;Real Estate Services;ALADO
4;Euronext GROWTH*;France;FR0010457531;ADThink Media Societe Anonyme;Communication Services;Advertising Agencies;ALADM
5;Euronext Access**;France;FR0013285103;Air Marine SA;Industrials;Aerospace & Defense;MLAIM
6;Euronext GROWTH*;France;FR0000054652;Ales Groupe S.A.;Consumer Defensive;Household & Personal Products;ALPHY
7;Euronext GROWTH*;France;FR0011910652;Anevia Societe Anonyme;Technology;SoftwareInfrastructure;ALANV
8;Euronext GROWTH*;Espagne;ES0109429037;Antevenio, S.A.;Communication Services;Advertising Agencies;ALANT
9;Euronext GROWTH*;France;FR0010340711;Aquila SA;Industrials;Security & Protection Services;ALAQU
10;Euronext GROWTH*;France;FR0013398997;Arcure S.A.;Industrials;Specialty Industrial Machinery;ALCUR
11;Euronext GROWTH*;France;FR0000079683;Artefact SA;Communication Services;Advertising Agencies;ALATF
12;Euronext Access**;France;FR0012968485;Ashler et Manson SA;Financial Services;Insurance Brokers;MLAEM
13;Euronext GROWTH*;France;FR0013384369;Baikowski SAS;Basic Materials;Chemicals;ALBKK
14;Euronext GROWTH*;France;FR0000035305;BD Multimedia SA;Communication Services;Telecom Services;ALBDM
15;Euronext GROWTH*;France;FR0004174233;Bilendi SA;Communication Services;Advertising Agencies;ALBLD
16;Euronext GROWTH*;France;FR0012788065;Biocorp Production;Healthcare;Medical Devices;ALCOR
17;Euronext GROWTH*;France;FR0012816825;Biophytis SA;Healthcare;Biotechnology;ALBPS
18;Euronext GROWTH*;France;FR0011005933;Biosynex SA;Healthcare;Diagnostics & Research;ALBIO
19;Euronext GROWTH*;France;FR0013345493;BIO-UV Group S.A.;Industrials;Waste Management;ALTUV
20;Euronext Access**;France;FR0013340973;Blue Shark Power System;Utilities;UtilitiesRenewable;MLBSP
21;Euronext GROWTH*;France;FR0011041011;Bluelinea Societe Anonyme;Healthcare;Medical Devices;ALBLU
22;Euronext Access**;France;FR0010106039;Body One SA;Consumer Cyclical;Apparel Manufacturing;MLONE
23;Euronext GROWTH*;France;FR0011648716;Carbios SAS;Basic Materials;Specialty Chemicals;ALCRB
24;Euronext GROWTH*;France;FR0010907956;Carmat SA;Healthcare;Medical Instruments & Supplies;ALCAR
25;Euronext Access**;France;FR0010717579;SA Cecurity.com;Technology;SoftwareInfrastructure;MLCEC
26;Euronext GROWTH*;France;FR0010425595;Cellectis S.A.;Healthcare;Biotechnology;ALCLS
27;Euronext GROWTH*;France;FR0013178712;Cerinnov Group SA;Industrials;Specialty Industrial Machinery;ALPCV
28;Euronext Access**;France;FR0012384907;Groupe CIOA;Industrials;Consulting Services;MLCIO
29;Euronext GROWTH*;France;FR0004152882;Clasquin SA;Industrials;Integrated Freight & Logistics;ALCLA
30;Euronext GROWTH*;France;FR0013257409;Cofidur S.A.;Technology;Electronic Components;ALCOF
31;Euronext Access**;France;FR0000060428;Compagnie Du Mont-Blanc;Consumer Cyclical;Leisure;MLCMB
32;Euronext GROWTH*;France;FR0011716265;Crossject Societe Anonyme;Healthcare;Medical Instruments & Supplies;ALCJ
33;Euronext GROWTH*;France;FR0013204351;Cybergun S.A.;Consumer Cyclical;Leisure;ALCYB
34;Euronext GROWTH*;France;FR0000185423;Damartex;Consumer Cyclical;Apparel Retail;ALDAR
35;Euronext Access**;France;FR0004177939;datBIM SA;Technology;Information Technology Services;MLDTB
36;Euronext GROWTH*;France;FR0013066750;DBT SA;Industrials;Specialty Industrial Machinery;ALDBT
37;Euronext GROWTH*;France;FR0010879056;Deinove SA;Healthcare;Biotechnology;ALDEI
38;Euronext GROWTH*;France;FR0000054132;Delfingen Industry S.A.;Consumer Cyclical;Auto Parts;ALDEL
39;Euronext GROWTH*;France;FR0010404368;DLSI;Industrials;Staffing & Employment Services;ALDLS
40;Euronext Access**;France;FR0011522168;Delta Drone SA;Industrials;Aerospace & Defense;ALDR
41;Euronext GROWTH*;France;FR0010246322;EasyVista S.A.;Technology;Information Technology Services;ALEZV
42;Euronext GROWTH*;France;FR0011490648;Ecoslops S.A.;Industrials;Waste Management;ALESA
43;Euronext GROWTH*;France;FR0013330792;ENENSYS Technologies SA;Technology;Communication Equipment;ALNN6
44;Euronext GROWTH*;France;FR0011915339;Enertime SA;Industrials;Specialty Industrial Machinery;ALENE
45;Euronext GROWTH*;France;FR0010424697;SA Entreparticuliers.com;Communication Services;Internet Content & Information;ALENT
46;Euronext GROWTH*;France;FR0010278762;Envea Societe anonyme;Technology;Scientific & Technical Instruments;ALTEV
47;Euronext GROWTH*;France;FR0010465534;Eo2 Societe Anonyme;Basic Materials;Lumber & Wood Production;ALEO2
48;Euronext GROWTH*;France;FR0000035818;Esker SA;Technology;SoftwareApplication;ALESK
49;Euronext GROWTH*;France;FR0013240934;Eurobio Scientific Societe anonyme;Healthcare;Diagnostics & Research;ALERS
50;Euronext GROWTH*;France;FR0010452474;Eurogerm SA;Consumer Defensive;Farm Products;ALGEM
51;Euronext GROWTH*;France;FR0000044810;Europlasma S.A.;Industrials;Waste Management;ALEUP
52;Euronext GROWTH*;France;FR0004166197;Evolis SA;Technology;Computer Hardware;ALTVO
53;Euronext GROWTH*;France;FR0010221069;Filae S.A.;Communication Services;Internet Content & Information;ALFIL
54;Euronext GROWTH*;France;FR0012419307;Focus Home Interactive Societe anonyme;Communication Services;Electronic Gaming & Multimedia;ALFOC
55;Euronext GROWTH*;France;FR0010485268;Fountaine Pajot SA;Consumer Cyclical;Leisure;ALFPC
56;Euronext Access**;France;FR0012300424;FD;Consumer Defensive;Packaged Foods;MLFDV
57;Euronext GROWTH*;France;FR0004053510;genOway S.A.;Healthcare;Biotechnology;ALGEN
58;Euronext GROWTH*;France;FR0011052257;Global Bioenergies SA;Utilities;UtilitiesDiversified;ALGBE
59;Euronext GROWTH*;France;FR0011289198;Global EcoPower Societe Anonyme;Utilities;UtilitiesRenewable;ALGEP
60;Euronext GROWTH*;France;FR0012819381;Groupe Guillin S.A.;Consumer Cyclical;Packaging & Containers;ALGIL
61;Euronext GROWTH*;France;FR0013204070;Groupe Parot SA;Consumer Cyclical;Auto & Truck Dealerships;ALPAR
62;Euronext GROWTH*;France;FR0010207795;Harvest S.A.;Technology;SoftwareApplication;ALHVS
63;Euronext GROWTH*;France;FR0000066540;Herige;Basic Materials;Building Materials;ALHRG
64;Euronext GROWTH*;France;FR0013219367;Horizontal Software S.A.;Technology;SoftwareApplication;ALHSW
65;Euronext GROWTH*;France;FR0004153930;Hybrigenics Societe Anonyme;Healthcare;Biotechnology;ALHYG
66;Euronext GROWTH*;France;FR0011511971;I.CERAM SA;Healthcare;Medical Instruments & Supplies;ALICR
67;Euronext GROWTH*;France;FR0013060100;Immersion SA;Technology;SoftwareApplication;ALIMR
68;Euronext GROWTH*;France;FR0010908723;IntegraGen SA;Healthcare;Biotechnology;ALINT
69;Euronext GROWTH*;France;FR0011179886;Intrasense SA;Healthcare;Health Information Services;ALINS
70;Euronext GROWTH*;France;BE0974299316;Invibes Advertising SA;Communication Services;Advertising Agencies;ALINV
71;Euronext GROWTH*;France;FR0010722819;Kalray S.A.;Technology;Semiconductors;ALKAL
72;Euronext GROWTH*;France;FR0013156007;Kerlink SA;Technology;SoftwareInfrastructure;ALKLK
73;Euronext GROWTH*;France;FR0007080254;Les Hotels Baverez S.A.;Consumer Cyclical;Lodging;ALLHB
74;Euronext GROWTH*;France;FR0011884378;Lucibel SA;Industrials;Electrical Equipment & Parts;ALUCI
75;Euronext Access**;France;FR0010328302;Made SA;Technology;Scientific & Technical Instruments;MLMAD
76;Euronext GROWTH*;France;FR0010812230;madvertise;Communication Services;Advertising Agencies;ALMNG
77;Euronext GROWTH*;France;FR0000072993;Makheia Group Societe anonyme;Communication Services;Advertising Agencies;ALMAK
78;Euronext GROWTH*;France;FR0004155687;Mastrad Societe Anonyme;Consumer Defensive;Household & Personal Products;ALMAS
