ISIN;Company;ticker
BE0948833760;Green Energy 4 Seasons;MLGES
BE0974328602;Metrics in Balance;MLMIB
BE6201089735;LV4S;MLV4S
BE6252013725;Condor Technolog;MLMFI
CA38055V2049;Skill Gaming Inc.;MLSKL
CH0044947239;ABC Orthodontics;MLABC
CH0120879058;Firstcaution;MLFIR
CH0220529603;Scandinavian House Development;MLSHD
CH0221173120;Ml Trading AG;MLMLT
CH0299791381;4Service Cloud Tech AG;MLOVE
CH0309050059;Wee.com AG;MLBAM
CH0342399851;Gour Medical;MLGML
DE000A0JCXG4;Protektus AG;MLPRO
ES0105399002;Whiteni R Cajal Socimi;MLWRC
ES0105447009;Maq Admon. Urbanas;MLMAQ
FR0000030769;Placoplatre;MLPLC
FR0000031106;Troc Ile;MLTRO
FR0000031866;Tramways de Rouen;MLTRA
FR0000033466;Team;MLTEA
FR0000034779;Lecteurs Monde;MLLEM
FR0000035750;Rousselet Centrif.;MLROU
FR0000037871;Ch.Fer Departement;MLCFD
FR0000044745;Everset;MLEVE
FR0000051567;Ch.Fer Var Gard N.;MLCVG
FR0000052755;Editions Du Signe;MLEDS
FR0000052920;Dynafond;MLDYN
FR0000053415;G.A.I.;MLGAI
FR0000053738;Hotelim;MLHOT
FR0000054066;Cta Holding;MLCTA
FR0000054371;Speed Rabbit Pizza;MLSRP
FR0000057895;PGO Automobiles;MLPGO
FR0000057945;Georex Prov.Regpt;MLGEO
FR0000060428;Cie Du Mont Blanc;MLCMB
FR0000061657;Mais.Antoine Baud;MLMAB
FR0000063976;Streit Industries;MLSTR
FR0000064644;Pol Roger;MLPOL
FR0000065773;Imprimerie Chirat;MLIMP
FR0000066797;Financiere Sicomax;MLSIC
FR0000071755;Securinfor;MLSEC
FR0000076481;Trois Chenes;MLTRC
FR0000076960;Carnivor (Groupe);MLGRC
FR0000077232;Galloo Ile-de-France;MLGRD
FR0000077828;Consort Nt;MLCNT
FR0000077885;Damaris;MLDAM
FR0000077992;Pacte Novation;MLPAC
FR0000079477;Christian Potier;MLCHP
FR0000079691;Ids;MLIDS
FR0000079824;Digitech;MLDIG
FR0000184822;WT;MLWTT
FR0000185464;Novatech Ind.;MLNOV
FR0000185480;Phone Web;MLPHW
FR0000185928;Parfex;MLPFX
FR0004038818;Simo International;MLSIM
FR0004152700;Krief Group;MLKRI
FR0004155208;Locasystem Intl;MLLOI
FR0004157543;Neocom Multimedia;MLNEO
FR0004174712;Onlineformapro;MLONL
FR0004175222;Sbt;MLSBT
FR0004177939;Datbim;MLDTB
FR0004185023;Collectors;MLCOL
FR0004260479;France Chauffage;MLFRC
FR0004998318;Courbet;MLCOU
FR0005057635;Ardoin St Amand A;MLARD
FR0005142999;Eaux De Douai;MLEAU
FR0005310463;Est Republicain;MLEST
FR0005783503;Uni.Metalg.Ht-Sei.;MLUMH
FR0005843125;Hydro-Exploit.;MLHYE
FR0006174496;Verney Carron;MLVER
FR0006205019;Lombard et Medot;MLCAC
FR0006226791;Hot.Majestic Canne;MLHMC
FR0006321998;Martin Maurel(fin);MLFMM
FR0006563904;Hotl.Immob.Nice;MLHIN
FR0006823092;Part.Indles Mini.;MLHOP
FR0006859039;Imm.Paris.Perle;MLIPP
FR0007200100;Eaux De Royan;MLEDR
FR0007261425;Thermes De Saujon;MLTDS
FR0010033480;Visio Nerf;MLVIS
FR0010035816;Corep Lighting;MLCOR
