ticker,Company,ISIN,Pays,Marche,Secteur,Industrie
2CRSI,"2CRSI S.A.",FR0013341781,FR,EURONEXT,Technology,"Computer Hardware"
AB,"AB Science S.A.",FR0010557264,FR,EURONEXT,Healthcare,"Drug Manufacturers—Specialty & Generic"
ABCA,"ABC arbitrage SA",FR0004040608,FR,EURONEXT,"Financial Services","Asset Management"
ABEO,"Abeo SA",FR0013185857,FR,EURONEXT,"Consumer Cyclical",Leisure
ABIO,Albioma,FR0000060402,FR,EURONEXT,Utilities,Utilities—Renewable
ABVX,"ABIVAX Societe Anonyme",FR0012333284,FR,EURONEXT,Healthcare,Biotechnology
ADOC,"Adocia SA",FR0011184241,FR,EURONEXT,Healthcare,Biotechnology
ADUX,"AdUX SA",FR0012821890,FR,EURONEXT,"Communication Services","Advertising Agencies"
ADV,"Advenis SA",FR0004152874,FR,EURONEXT,"Financial Services","Capital Markets"
ADVI,"AdVini S.A.",FR0000053043,FR,EURONEXT,"Consumer Defensive","Beverages—Wineries & Distilleries"
ADVIC,"Advicenne S.A.",FR0013296746,FR,"Euronext GROWTH*",Healthcare,Biotechnology
ALACT,"Groupe Actiplay SA",FR0011038348,FR,"Euronext GROWTH*","Communication Services","Advertising Agencies"
ALADM,"ADThink Media Societe Anonyme",FR0010457531,FR,"Euronext GROWTH*","Communication Services","Advertising Agencies"
ALADO,"Adomos S.A.",FR0013247244,FR,"Euronext GROWTH*","Real Estate","Real Estate Services"
ALANT,"Antevenio, S.A.",ES0109429037,FR,"Euronext GROWTH*","Communication Services","Advertising Agencies"
ALANV,"Anevia Societe Anonyme",FR0011910652,FR,"Euronext GROWTH*",Technology,Software—Infrastructure
ALAQU,"Aquila SA",FR0010340711,FR,"Euronext GROWTH*",Industrials,"Security & Protection Services"
ALARF,"Adeunis Societe anonyme",FR0013284627,FR,"Euronext GROWTH*",Technology,"Communication Equipment"
ALATF,"Artefact SA",FR0000079683,FR,"Euronext GROWTH*","Communication Services","Advertising Agencies"
ALAUP,NaN,FR0010397760,FR,"Euronext GROWTH*",NaN,NaN
ALBDM,"BD Multimedia SA",FR0000035305,FR,"Euronext GROWTH*","Communication Services","Telecom Services"
ALBFR,"Sidetrade SA",FR0010202606,FR,"Euronext GROWTH*",Technology,Software—Application
ALBIO,"Biosynex SA",FR0011005933,FR,"Euronext GROWTH*",Healthcare,"Diagnostics & Research"
ALBKK,"Baikowski SAS",FR0013384369,FR,"Euronext GROWTH*","Basic Materials",Chemicals
ALBLD,"Bilendi SA",FR0004174233,FR,"Euronext GROWTH*","Communication Services","Advertising Agencies"
ALBLU,"Bluelinea Societe Anonyme",FR0011041011,FR,"Euronext GROWTH*",Healthcare,"Medical Devices"
ALBPS,"Biophytis SA",FR0012816825,FR,"Euronext GROWTH*",Healthcare,Biotechnology
ALBUD,"MINT Societe anonyme",FR0004172450,FR,"Euronext GROWTH*","Communication Services","Telecom Services"
ALCAR,"Carmat SA",FR0010907956,FR,"Euronext GROWTH*",Healthcare,"Medical Instruments & Supplies"
ALCJ,"Crossject Societe Anonyme",FR0011716265,FR,"Euronext GROWTH*",Healthcare,"Medical Instruments & Supplies"
ALCLA,"Clasquin SA",FR0004152882,FR,"Euronext GROWTH*",Industrials,"Integrated Freight & Logistics"
ALCLS,"Cellectis S.A.",FR0010425595,FR,"Euronext GROWTH*",Healthcare,Biotechnology
ALCOF,"Cofidur S.A.",FR0013257409,FR,"Euronext GROWTH*",Technology,"Electronic Components"
ALCOR,"Biocorp Production",FR0012788065,FR,"Euronext GROWTH*",Healthcare,"Medical Devices"
ALCRB,"Carbios SAS",FR0011648716,FR,"Euronext GROWTH*","Basic Materials","Specialty Chemicals"
ALCUR,"Arcure S.A.",FR0013398997,FR,"Euronext GROWTH*",Industrials,"Specialty Industrial Machinery"
ALCYB,"Cybergun S.A.",FR0013204351,FR,"Euronext GROWTH*","Consumer Cyclical",Leisure
ALDAR,Damartex,FR0000185423,FR,"Euronext GROWTH*","Consumer Cyclical","Apparel Retail"
ALDBT,"DBT SA",FR0013066750,FR,"Euronext GROWTH*",Industrials,"Specialty Industrial Machinery"
ALDEI,"Deinove SA",FR0010879056,FR,"Euronext GROWTH*",Healthcare,Biotechnology
ALDEL,"Delfingen Industry S.A.",FR0000054132,FR,"Euronext GROWTH*","Consumer Cyclical","Auto Parts"
ALDLS,DLSI,FR0010404368,FR,"Euronext GROWTH*",Industrials,"Staffing & Employment Services"
ALDNE,"Don't Nod Entertainment S.A.",FR0013331212,FR,"Euronext GROWTH*","Communication Services","Electronic Gaming & Multimedia"
ALDOL,NaN,FR0004022754,FR,"Euronext GROWTH*",NaN,NaN
ALDR,"Delta Drone SA",FR0011522168,FR,"Euronext Access**",Industrials,"Aerospace & Defense"
ALENE,"Enertime SA",FR0011915339,FR,"Euronext GROWTH*",Industrials,"Specialty Industrial Machinery"
ALENT,"SA Entreparticuliers.com",FR0010424697,FR,"Euronext GROWTH*","Communication Services","Internet Content & Information"
ALEO2,"Eo2 Societe Anonyme",FR0010465534,FR,"Euronext GROWTH*","Basic Materials","Lumber & Wood Production"
ALERS,"Eurobio Scientific Societe anonyme",FR0013240934,FR,"Euronext GROWTH*",Healthcare,"Diagnostics & Research"
ALESA,"Ecoslops S.A.",FR0011490648,FR,"Euronext GROWTH*",Industrials,"Waste Management"
ALESK,"Esker SA",FR0000035818,FR,"Euronext GROWTH*",Technology,Software—Application
ALEUP,"Europlasma S.A.",FR0000044810,FR,"Euronext GROWTH*",Industrials,"Waste Management"
ALEZV,"EasyVista S.A.",FR0010246322,FR,"Euronext GROWTH*",Technology,"Information Technology Services"
